subject,type,super_subject
aa,primary,aa
aardvark,primary,aardvark
aardwolf,primary,aardwolf
aba,primary,aba
abacus,primary,abacus
abalone,primary,abalone
abandon,primary,abandon
abandonment,primary,abandonment
abattoir,primary,abattoir
abbey,primary,abbey
abbreviation,primary,abbreviation
abdomen,primary,abdomen
abdominal muscle,primary,abdominal muscle
abdominal wall,primary,abdominal wall
abducens nerve,primary,abducens nerve
abelian group,primary,abelian group
abetalipoproteinemia,primary,abetalipoproteinemia
abhorrence,primary,abhorrence
abhorrer,primary,abhorrer
ability,primary,ability
ablation,primary,ablation
abnegation,primary,abnegation
abnormality,primary,abnormality
abort,primary,abort
above,primary,above
abrasion,primary,abrasion
abruptness,primary,abruptness
abscess,primary,abscess
absence,primary,absence
absinthe,primary,absinthe
absolute value,primary,absolute value
absolution,primary,absolution
absorbency,primary,absorbency
abstinence,primary,abstinence
abstraction,primary,abstraction
absurdity,primary,absurdity
abundance,primary,abundance
abuse,primary,abuse
abyss,primary,abyss
acacia,primary,acacia
academic department,primary,academic department
academic gown,primary,academic gown
academician,primary,academician
academy,primary,academy
acantholysis,primary,acantholysis
acaricide,primary,acaricide
acceleration,primary,acceleration
accelerator,primary,accelerator
accelerometer,primary,accelerometer
accessory,primary,accessory
accessory nerve,primary,accessory nerve
accident,primary,accident
accompaniment,primary,accompaniment
accord,primary,accord
accordion,primary,accordion
accordionist,primary,accordionist
accountant,primary,accountant
accounting,primary,accounting
accreditation,primary,accreditation
accretion,primary,accretion
accuracy,primary,accuracy
accusation,primary,accusation
ace,primary,ace
ace inhibitor,primary,ace inhibitor
acebutolol,primary,acebutolol
acetabulum,primary,acetabulum
acetaldehyde,primary,acetaldehyde
acetamide,primary,acetamide
acetaminophen,primary,acetaminophen
acetate,primary,acetate
acetic acid,primary,acetic acid
acetic anhydride,primary,acetic anhydride
acetone,primary,acetone
acetyl chloride,primary,acetyl chloride
acetylcholine,primary,acetylcholine
acetylene,primary,acetylene
ache,primary,ache
achiever,primary,achiever
achira,primary,achira
acid,primary,acid
acid rain,primary,acid rain
acinus,primary,acinus
ackee,primary,ackee
acme,primary,acme
acne,primary,acne
acorn,primary,acorn
acquaintance,primary,acquaintance
acquiring,primary,acquiring
acre,primary,acre
acridity,primary,acridity
acrolein,primary,acrolein
acromion,primary,acromion
acronym,primary,acronym
acrosome,primary,acrosome
acrylic,primary,acrylic
acrylonitrile,primary,acrylonitrile
act,primary,act
actin,primary,actin
acting,primary,acting
actinia,primary,actinia
actinium,primary,actinium
actinolite,primary,actinolite
actinomyces,primary,actinomyces
action spectrum,primary,action spectrum
active site,primary,active site
active transport,primary,active transport
actor,primary,actor
actress,primary,actress
acupressure,primary,acupressure
acupuncture,primary,acupuncture
acute accent,primary,acute accent
acuteness,primary,acuteness
ad,primary,ad
adagio,primary,adagio
adaptation,primary,adaptation
adder,primary,adder
addict,primary,addict
addiction,primary,addiction
adding machine,primary,adding machine
addition,primary,addition
addle head,primary,addle head
address,primary,address
adenine,primary,adenine
adenoid,primary,adenoid
adenosine,primary,adenosine
adenosine deaminase,primary,adenosine deaminase
adenosine monophosphate,primary,adenosine monophosphate
adeptness,primary,adeptness
adhd,primary,adhd
adhesiveness,primary,adhesiveness
adieu,primary,adieu
adit,primary,adit
adjective,primary,adjective
adjunct,primary,adjunct
adjustable wrench,primary,adjustable wrench
adjustment,primary,adjustment
administration,primary,administration
administrative district,primary,administrative district
administrator,primary,administrator
admiral,primary,admiral
admonition,primary,admonition
adolescence,primary,adolescence
adolescent,primary,adolescent
adonis,primary,adonis
adoption,primary,adoption
adornment,primary,adornment
adp,primary,adp
adrenal cortex,primary,adrenal cortex
adrenal gland,primary,adrenal gland
adrenal medulla,primary,adrenal medulla
adult,primary,adult
adult female body,primary,adult female body
adulteress,primary,adulteress
adultery,primary,adultery
advantage,primary,advantage
advent,primary,advent
adventure,primary,adventure
adverb,primary,adverb
adversary,primary,adversary
advertiser,primary,advertiser
advertising agency,primary,advertising agency
advice,primary,advice
adviser,primary,adviser
advocate,primary,advocate
aeronautics,primary,aeronautics
aerosol,primary,aerosol
aesthetics,primary,aesthetics
affability,primary,affability
affair,primary,affair
affect,primary,affect
affectation,primary,affectation
affected role,primary,affected role
affection,primary,affection
affectionateness,primary,affectionateness
affenpinscher,primary,affenpinscher
affidavit,primary,affidavit
affiliate,primary,affiliate
affiliation,primary,affiliation
affinity,primary,affinity
affix,primary,affix
affliction,primary,affliction
afghan hound,primary,afghan hound
aficionado,primary,aficionado
aflatoxin,primary,aflatoxin
african clawed frog,primary,african clawed frog
african lily,primary,african lily
african violet,primary,african violet
afterbirth,primary,afterbirth
aftermath,primary,aftermath
agape,primary,agape
agate,primary,agate
age group,primary,age group
agency,primary,agency
agenda,primary,agenda
agent,primary,agent
agent provocateur,primary,agent provocateur
agglutination,primary,agglutination
aggravation,primary,aggravation
aggression,primary,aggression
agio,primary,agio
agitation,primary,agitation
aglet,primary,aglet
agnostic,primary,agnostic
agony,primary,agony
agora,primary,agora
agoraphobia,primary,agoraphobia
agouti,primary,agouti
agreement,primary,agreement
agriculture,primary,agriculture
agronomist,primary,agronomist
ai,primary,ai
aid,primary,aid
aikido,primary,aikido
ailment,primary,ailment
aim,primary,aim
air alert,primary,air alert
air bag,primary,air bag
air conditioner,primary,air conditioner
air cushion,primary,air cushion
air horn,primary,air horn
air pump,primary,air pump
air terminal,primary,air terminal
air transportation,primary,air transportation
airbrake,primary,airbrake
airbrush,primary,airbrush
airbus,primary,airbus
aircraft,primary,aircraft
aircraft carrier,primary,aircraft carrier
aircraft engine,primary,aircraft engine
airedale,primary,airedale
airfield,primary,airfield
airfoil,primary,airfoil
airhead,primary,airhead
airiness,primary,airiness
airlift,primary,airlift
airline,primary,airline
airplane,primary,airplane
airport,primary,airport
airsickness,primary,airsickness
airspace,primary,airspace
airstrip,primary,airstrip
aisle,primary,aisle
ala,primary,ala
alabaster,primary,alabaster
alanine,primary,alanine
alarm,primary,alarm
alaskan malamute,primary,alaskan malamute
alb,primary,alb
albacore,primary,albacore
albatross,primary,albatross
albinism,primary,albinism
albite,primary,albite
album,primary,album
albumin,primary,albumin
alchemist,primary,alchemist
alcohol,primary,alcohol
alcoholic,primary,alcoholic
alcoholism,primary,alcoholism
alder,primary,alder
aldohexose,primary,aldohexose
aldosterone,primary,aldosterone
aleph,primary,aleph
alewife,primary,alewife
alexandrite,primary,alexandrite
alfalfa,primary,alfalfa
algae,primary,algae
algebra,primary,algebra
algorithm,primary,algorithm
alias,primary,alias
alienation,primary,alienation
alimentary canal,primary,alimentary canal
alir,primary,alir
alizarin,primary,alizarin
alkaloid,primary,alkaloid
alkane,primary,alkane
alkaptonuria,primary,alkaptonuria
allegation,primary,allegation
allegretto,primary,allegretto
allegro,primary,allegro
allergy,primary,allergy
alley,primary,alley
alliance,primary,alliance
alligator,primary,alligator
allotment,primary,allotment
allowance,primary,allowance
alloy,primary,alloy
allspice,primary,allspice
allusion,primary,allusion
alluvial fan,primary,alluvial fan
ally,primary,ally
allyl alcohol,primary,allyl alcohol
almandine,primary,almandine
almond,primary,almond
almond tree,primary,almond tree
alocasia,primary,alocasia
aloe,primary,aloe
aloe vera,primary,aloe vera
alp,primary,alp
alpaca,primary,alpaca
alpha,primary,alpha
alphabet soup,primary,alphabet soup
alpine salamander,primary,alpine salamander
als,primary,als
alstroemeria,primary,alstroemeria
altar,primary,altar
altar boy,primary,altar boy
alteration,primary,alteration
alternator,primary,alternator
altruism,primary,altruism
alumina,primary,alumina
aluminum,primary,aluminum
aluminum chloride,primary,aluminum chloride
aluminum foil,primary,aluminum foil
aluminum hydroxide,primary,aluminum hydroxide
alumnus,primary,alumnus
alveolus,primary,alveolus
alyssum,primary,alyssum
amaranth,primary,amaranth
amarelle,primary,amarelle
amateur,primary,amateur
amazon,primary,amazon
ambassador,primary,ambassador
amber,primary,amber
ambiguity,primary,ambiguity
ambition,primary,ambition
amble,primary,amble
amblygonite,primary,amblygonite
ambrosia,primary,ambrosia
ambulance,primary,ambulance
ambush,primary,ambush
amendment,primary,amendment
amenorrhea,primary,amenorrhea
american black bear,primary,american black bear
american flag,primary,american flag
american foxhound,primary,american foxhound
american mink,primary,american mink
american staffordshire terrier,primary,american staffordshire terrier
american toad,primary,american toad
american water spaniel,primary,american water spaniel
americium,primary,americium
amethyst,primary,amethyst
amicability,primary,amicability
amino acid,primary,amino acid
amiodarone,primary,amiodarone
ammonia,primary,ammonia
ammonium carbonate,primary,ammonium carbonate
ammonium chloride,primary,ammonium chloride
ammunition,primary,ammunition
amnesia,primary,amnesia
amnesty,primary,amnesty
amniocentesis,primary,amniocentesis
amnion,primary,amnion
amniotic fluid,primary,amniotic fluid
amobarbital,primary,amobarbital
amobarbital sodium,primary,amobarbital sodium
amoeba,primary,amoeba
amour propre,primary,amour propre
amoxicillin,primary,amoxicillin
amphetamine,primary,amphetamine
amphibian,primary,amphibian
amphisbaena,primary,amphisbaena
amphitheatre,primary,amphitheatre
ampicillin,primary,ampicillin
amplification,primary,amplification
amplifier,primary,amplifier
amplitude,primary,amplitude
ampulla,primary,ampulla
amputation,primary,amputation
amygdala,primary,amygdala
amylase,primary,amylase
ana,primary,ana
anabolism,primary,anabolism
anachronism,primary,anachronism
anaconda,primary,anaconda
analgesic,primary,analgesic
analyst,primary,analyst
anaphase,primary,anaphase
anaphora,primary,anaphora
anarchism,primary,anarchism
anarchist,primary,anarchist
anarchy,primary,anarchy
anatoxin,primary,anatoxin
ancestor,primary,ancestor
ancestry,primary,ancestry
anchor,primary,anchor
anchorage,primary,anchorage
anchovy,primary,anchovy
anchovy pear,primary,anchovy pear
ancientness,primary,ancientness
andante,primary,andante
andradite,primary,andradite
androecium,primary,androecium
androgyny,primary,androgyny
android,primary,android
andromeda,primary,andromeda
andromeda galaxy,primary,andromeda galaxy
androsterone,primary,androsterone
anemia,primary,anemia
anemone,primary,anemone
anesthesia,primary,anesthesia
anesthetic,primary,anesthetic
aneuploidy,primary,aneuploidy
aneurysm,primary,aneurysm
angel shark,primary,angel shark
angelfish,primary,angelfish
angelica,primary,angelica
angina,primary,angina
angiogram,primary,angiogram
angiosperm,primary,angiosperm
anglerfish,primary,anglerfish
angling,primary,angling
anguish,primary,anguish
angular distance,primary,angular distance
anhinga,primary,anhinga
anil,primary,anil
aniline,primary,aniline
anima,primary,anima
animal,primary,animal
animal fat,primary,animal fat
animal husbandry,primary,animal husbandry
animal leg,primary,animal leg
animal skin,primary,animal skin
animal tissue,primary,animal tissue
animation,primary,animation
anise,primary,anise
ankle,primary,ankle
anklebone,primary,anklebone
anklets,primary,anklets
ankylosing spondylitis,primary,ankylosing spondylitis
anna,primary,anna
annealing,primary,annealing
annex,primary,annex
anniversary,primary,anniversary
annona reticulata,primary,annona reticulata
announcement,primary,announcement
announcer,primary,announcer
annoyance,primary,annoyance
annulet,primary,annulet
anode,primary,anode
anomaly,primary,anomaly
anorexia,primary,anorexia
anorgasmia,primary,anorgasmia
anorthite,primary,anorthite
answer,primary,answer
answering machine,primary,answering machine
ant,primary,ant
antacid,primary,antacid
ante,primary,ante
anteater,primary,anteater
antelope,primary,antelope
antenna,primary,antenna
anterior cerebral artery,primary,anterior cerebral artery
anterior pituitary,primary,anterior pituitary
anteroom,primary,anteroom
anther,primary,anther
anthracite,primary,anthracite
anthrax,primary,anthrax
anthropologist,primary,anthropologist
anthropology,primary,anthropology
antiarrhythmic drug,primary,antiarrhythmic drug
antibiotic,primary,antibiotic
antibody,primary,antibody
antic,primary,antic
anticlimax,primary,anticlimax
antidote,primary,antidote
antiemetic,primary,antiemetic
antifreeze,primary,antifreeze
antigen,primary,antigen
antihistamine,primary,antihistamine
antimony,primary,antimony
antiperspirant,primary,antiperspirant
antipruritic,primary,antipruritic
antipyretic,primary,antipyretic
antiseptic,primary,antiseptic
antithesis,primary,antithesis
antler,primary,antler
antonymy,primary,antonymy
anus,primary,anus
anxiety,primary,anxiety
anxiety disorder,primary,anxiety disorder
aorta,primary,aorta
aortic arch,primary,aortic arch
aortic stenosis,primary,aortic stenosis
aortitis,primary,aortitis
apache,primary,apache
apartment,primary,apartment
apartment building,primary,apartment building
apathy,primary,apathy
apatite,primary,apatite
apc,primary,apc
ape,primary,ape
aperture,primary,aperture
aphesis,primary,aphesis
aphid,primary,aphid
aplomb,primary,aplomb
apology,primary,apology
aponeurosis,primary,aponeurosis
apophysis,primary,apophysis
apoptosis,primary,apoptosis
apostle,primary,apostle
apostrophe,primary,apostrophe
apparatus,primary,apparatus
apparition,primary,apparition
appearance,primary,appearance
appellation,primary,appellation
appendectomy,primary,appendectomy
appendicitis,primary,appendicitis
appendicular skeleton,primary,appendicular skeleton
appendix,primary,appendix
appetizer,primary,appetizer
applause,primary,applause
apple,primary,apple
apple butter,primary,apple butter
apple juice,primary,apple juice
apple maggot,primary,apple maggot
apple tree,primary,apple tree
applet,primary,applet
appliance,primary,appliance
applicant,primary,applicant
application,primary,application
applique,primary,applique
appointment,primary,appointment
appointment book,primary,appointment book
appraisal,primary,appraisal
appraiser,primary,appraiser
apprehension,primary,apprehension
apprentice,primary,apprentice
approach,primary,approach
approbation,primary,approbation
apricot,primary,apricot
aquarium,primary,aquarium
aquatic plant,primary,aquatic plant
aquatint,primary,aquatint
aqueduct,primary,aqueduct
aqueous humor,primary,aqueous humor
aquifer,primary,aquifer
arabesque,primary,arabesque
arabic numeral,primary,arabic numeral
arachnid,primary,arachnid
arachnoid,primary,arachnoid
aragonite,primary,aragonite
araucaria,primary,araucaria
araucaria bidwillii,primary,araucaria bidwillii
arbitrage,primary,arbitrage
arbitrator,primary,arbitrator
arboretum,primary,arboretum
arcade,primary,arcade
arch,primary,arch
archaeologist,primary,archaeologist
archaeology,primary,archaeology
archbishop,primary,archbishop
archer,primary,archer
archery,primary,archery
archipelago,primary,archipelago
architect,primary,architect
architrave,primary,architrave
archive,primary,archive
arctic,primary,arctic
ardor,primary,ardor
are,primary,are
areola,primary,areola
argali,primary,argali
argentine,primary,argentine
arginine,primary,arginine
argon,primary,argon
argonaut,primary,argonaut
argument,primary,argument
argus,primary,argus
argyll,primary,argyll
aria,primary,aria
aril,primary,aril
arithmetic,primary,arithmetic
ark,primary,ark
arm,primary,arm
arm bone,primary,arm bone
armadillo,primary,armadillo
armature,primary,armature
armchair,primary,armchair
armoire,primary,armoire
armor,primary,armor
armored car,primary,armored car
armory,primary,armory
armpit,primary,armpit
armrest,primary,armrest
army,primary,army
army base,primary,army base
army officer,primary,army officer
armyworm,primary,armyworm
arnica,primary,arnica
aroma,primary,aroma
arrangement,primary,arrangement
array,primary,array
arrest,primary,arrest
arrested development,primary,arrested development
arrival,primary,arrival
arrogance,primary,arrogance
arrow,primary,arrow
arrowhead,primary,arrowhead
arroyo,primary,arroyo
arsenal,primary,arsenal
arsenic,primary,arsenic
arsenic acid,primary,arsenic acid
arsenopyrite,primary,arsenopyrite
arsine,primary,arsine
arson,primary,arson
arsonist,primary,arsonist
art,primary,art
art movement,primary,art movement
arteriosclerosis,primary,arteriosclerosis
artery,primary,artery
arthritis,primary,arthritis
arthropod,primary,arthropod
artichoke,primary,artichoke
article,primary,article
articulation,primary,articulation
artifact,primary,artifact
artificial heart,primary,artificial heart
artificial language,primary,artificial language
artillery,primary,artillery
artillery fire,primary,artillery fire
artillery shell,primary,artillery shell
artist,primary,artist
artistic style,primary,artistic style
arum,primary,arum
asbestos,primary,asbestos
asbestosis,primary,asbestosis
ascariasis,primary,ascariasis
ascender,primary,ascender
ascending colon,primary,ascending colon
ascent,primary,ascent
ascites,primary,ascites
ash,primary,ash
ashcan,primary,ashcan
ashtray,primary,ashtray
asian country,primary,asian country
asiatic black bear,primary,asiatic black bear
asparagine,primary,asparagine
asparagus,primary,asparagus
aspartame,primary,aspartame
aspartic acid,primary,aspartic acid
aspen,primary,aspen
aspergillosis,primary,aspergillosis
aspersion,primary,aspersion
asphalt,primary,asphalt
aspirate,primary,aspirate
aspirator,primary,aspirator
aspirin,primary,aspirin
assassin,primary,assassin
assault rifle,primary,assault rifle
assay,primary,assay
