domain	subject
animal	ant
animal	ape
animal	bear
animal	bee
animal	boar
animal	buffalo
animal	butterfly
animal	camel
animal	cat
animal	chicken
animal	cow
animal	crow
animal	deer
animal	dog
animal	donkey
animal	dove
animal	duck
animal	eagle
animal	elephant
animal	elk
animal	fox
animal	frog
animal	goat
animal	goose
animal	hawk
animal	horse
animal	lion
animal	monkey
animal	moth
animal	mouse
animal	mule
animal	owl
animal	parrot
animal	pig
animal	pigeon
animal	rabbit
animal	rat
animal	salmon
animal	sheep
animal	snake
animal	spider
animal	squirrel
animal	swan
animal	tiger
animal	trout
animal	turkey
animal	turtle
animal	whale
animal	wolf
animal	worm
occupation	actor
occupation	actress
occupation	artist
occupation	baker
occupation	barber
occupation	butcher
occupation	chef
occupation	clerk
occupation	doctor
occupation	driver
occupation	engineer
occupation	farmer
occupation	fireman
occupation	foreman
occupation	gardener
occupation	historian
occupation	hostess
occupation	housekeeper
occupation	inspector
occupation	interpreter
occupation	inventor
occupation	judge
occupation	landlord
occupation	lawyer
occupation	magician
occupation	mechanic
occupation	merchant
occupation	miller
occupation	miner
occupation	musician
occupation	nurse
occupation	painter
occupation	physician
occupation	pilot
occupation	priest
occupation	proprietor
occupation	reporter
occupation	sculptor
occupation	seaman
occupation	secretary
occupation	servant
occupation	shepherd
occupation	sheriff
occupation	soldier
occupation	steward
occupation	student
occupation	surgeon
occupation	teacher
occupation	waiter
occupation	writer
engineering	ai
engineering	alcohol
engineering	baseball
engineering	basketball
engineering	bike
engineering	boat
engineering	bomb
engineering	building
engineering	bullet
engineering	cable
engineering	camera
engineering	car
engineering	card
engineering	clock
engineering	computer
engineering	costume
engineering	drug
engineering	elevator
engineering	engine
engineering	gas
engineering	glass
engineering	gun
engineering	internet
engineering	jewelry
engineering	key
engineering	laptop
engineering	machine
engineering	medicine
engineering	mirror
engineering	movie
engineering	newspaper
engineering	paper
engineering	pen
engineering	phone
engineering	photo
engineering	piano
engineering	plane
engineering	plastic
engineering	pool
engineering	radio
engineering	record
engineering	road
engineering	rope
engineering	ship
engineering	tape
engineering	train
engineering	video
engineering	watch
engineering	weapon
engineering	wheel
